table_path	column	data_type	units	definition	allowed_values	notes
results/dataset_summary.tsv	dataset_id	string		stable dataset/task identifier used across benchmark tables		Examples: 10x_PBMC_3k_scRNA_2016_S3; Mouse_Brain_Visium_10x
results/dataset_summary.tsv	modality	string		data modality	scRNA-seq; Visium	
results/dataset_summary.tsv	organism	string		source organism		Free text
results/dataset_summary.tsv	tissue	string		source tissue		Free text
results/dataset_summary.tsv	assay_platform	string		assay platform / technology		Example: 10x Chromium; 10x Visium
results/dataset_summary.tsv	input_artifact	string		input artifact root (as ingested by method library)		
results/dataset_summary.tsv	entrypoint	string		entrypoint type used for ingestion		Example: cellranger_mtx; spaceranger_bundle
results/dataset_summary.tsv	role	string		role of dataset in the evaluation matrix	smoke; benchmark; anchor; negative_control	Optional taxonomy
results/dataset_summary.tsv	n_samples	string		number of samples (if applicable)		
results/dataset_summary.tsv	n_donors	string		number of donors (if applicable)		
results/dataset_summary.tsv	n_cells_or_spots	integer	count	number of cells (scRNA) or spots (Visium)		
results/dataset_summary.tsv	n_genes	integer	count	number of genes/features		
results/dataset_summary.tsv	reference_genome	string		reference genome build (if applicable)		
results/dataset_summary.tsv	primary_citation	string		primary dataset citation key (if applicable)		
results/dataset_summary.tsv	source_url	string		URL for dataset or source page (if applicable)		
results/dataset_summary.tsv	license	string		license identifier/summary (if known)		
results/dataset_summary.tsv	qc_summary	string		compact QC summary string (key=value;key=value...)		Not machine-critical; reviewer-facing summary
results/dataset_summary.tsv	notes	string		free-text notes		

results/audit/reproducibility_checks.tsv	run_id	string		run identifier for the check record		
results/audit/reproducibility_checks.tsv	timestamp_utc	string	ISO-8601 UTC	row creation time (audit record timestamp)		
results/audit/reproducibility_checks.tsv	dataset_id	string		dataset/task id for the check row		NA used for contract/skeleton rows
results/audit/reproducibility_checks.tsv	stage	string		pipeline stage identifier		Examples: skeleton; smoke; scrna_*; visium_*
results/audit/reproducibility_checks.tsv	env_hash	string		SHA-256 hash of a stable environment fingerprint (rerun-stable when environment unchanged)		Fingerprint excludes timestamps by design
